# lams weight z
6.500000000000000000e+01 1.887670883335627615e+06 9.100000000000000311e-01
3.000000000000000000e+01 1.456755876272792928e+06 1.489999999999999991e+00
2.900000000000000000e+01 2.127755189884461928e+06 1.050000000000000044e+00
2.500000000000000000e+01 2.101063941184175666e+06 8.800000000000000044e-01
2.700000000000000000e+01 3.055304642708355095e+06 9.599999999999999645e-01
5.500000000000000000e+01 1.577339372776856413e+06 1.239999999999999991e+00
6.500000000000000000e+01 1.615965831271895673e+06 9.000000000000000222e-01
2.800000000000000000e+01 9.453959974925989285e+06 9.100000000000000311e-01
2.100000000000000000e+01 1.915689858045470901e+06 1.409999999999999920e+00
3.500000000000000000e+01 2.343382111565928906e+06 1.370000000000000107e+00
2.300000000000000000e+01 2.121877032082613092e+06 1.060000000000000053e+00
3.200000000000000000e+01 8.104390934503384866e+06 9.100000000000000311e-01
3.100000000000000000e+01 1.711894023667378817e+06 1.100000000000000089e+00
2.200000000000000000e+01 1.596589195783787873e+06 1.229999999999999982e+00
2.900000000000000000e+01 1.592409430568468757e+06 1.270000000000000018e+00
3.000000000000000000e+01 1.520011021698128199e+06 1.100000000000000089e+00
3.300000000000000000e+01 2.134544847655783407e+06 1.290000000000000036e+00
3.100000000000000000e+01 9.287509991132659838e+06 8.299999999999999600e-01
4.100000000000000000e+01 8.021683753130798228e+06 8.900000000000000133e-01
4.000000000000000000e+01 7.863086971283541992e+06 1.239999999999999991e+00
3.000000000000000000e+01 1.007433264045702480e+07 1.080000000000000071e+00
3.700000000000000000e+01 9.130192382230037823e+06 9.799999999999999822e-01
4.500000000000000000e+01 2.810536867760714144e+06 1.010000000000000009e+00
3.200000000000000000e+01 1.621584249727592804e+06 1.310000000000000053e+00
2.100000000000000000e+01 3.831873454376162495e+06 9.599999999999999645e-01
3.200000000000000000e+01 9.774893321755174547e+06 9.599999999999999645e-01
3.100000000000000000e+01 8.736261759704105556e+06 1.310000000000000053e+00
2.900000000000000000e+01 9.757153557189734653e+06 1.280000000000000027e+00
2.700000000000000000e+01 1.826080073780281236e+06 1.090000000000000080e+00
6.500000000000000000e+01 6.753880838753662072e+06 1.030000000000000027e+00
5.100000000000000000e+01 2.362315786799094174e+06 1.239999999999999991e+00
4.400000000000000000e+01 2.246779034142790362e+06 9.000000000000000222e-01
2.200000000000000000e+01 1.583918751181202708e+06 1.010000000000000009e+00
2.700000000000000000e+01 1.646846843839192064e+06 9.899999999999999911e-01
2.800000000000000000e+01 2.164053847478938755e+06 9.699999999999999734e-01
4.900000000000000000e+01 1.697537377724881750e+06 1.050000000000000044e+00
3.700000000000000000e+01 1.802901934049165808e+06 1.010000000000000009e+00
3.500000000000000000e+01 1.854666321480616694e+06 1.080000000000000071e+00
4.400000000000000000e+01 9.167090978646285832e+06 1.290000000000000036e+00
2.200000000000000000e+01 3.146310431420928333e+06 9.899999999999999911e-01
3.500000000000000000e+01 9.419358048490740359e+06 1.139999999999999902e+00
4.600000000000000000e+01 1.892567522980563808e+06 9.399999999999999467e-01
6.600000000000000000e+01 1.666479529486902989e+06 9.399999999999999467e-01
2.300000000000000000e+01 4.345553761007672176e+06 8.100000000000000533e-01
5.000000000000000000e+01 2.612817359084341209e+06 9.899999999999999911e-01
4.100000000000000000e+01 8.532254835702408105e+06 1.010000000000000009e+00
2.900000000000000000e+01 2.024179848459996982e+06 1.239999999999999991e+00
2.400000000000000000e+01 3.087123988062140066e+06 9.699999999999999734e-01
2.300000000000000000e+01 2.128843438978726510e+06 9.799999999999999822e-01
2.400000000000000000e+01 8.752910083784295246e+06 7.600000000000000089e-01
3.500000000000000000e+01 2.955742147065362427e+06 1.010000000000000009e+00
2.300000000000000000e+01 1.534841262509760447e+06 1.050000000000000044e+00
