# lams weight z
2.400000000000000000e+01 2.717178205220726319e+06 1.189999999999999947e+00
2.700000000000000000e+01 1.622297785138350213e+06 9.100000000000000311e-01
8.700000000000000000e+01 2.184270319835667964e+06 1.129999999999999893e+00
6.500000000000000000e+01 2.015334997869550483e+06 9.100000000000000311e-01
3.000000000000000000e+01 1.532915388317291625e+06 1.489999999999999991e+00
2.900000000000000000e+01 2.283174300932330079e+06 1.050000000000000044e+00
2.500000000000000000e+01 2.251697885292344261e+06 8.800000000000000044e-01
2.700000000000000000e+01 3.334878148133193608e+06 9.599999999999999645e-01
5.500000000000000000e+01 1.665996115131455706e+06 1.239999999999999991e+00
6.500000000000000000e+01 1.710065575977038126e+06 9.000000000000000222e-01
2.800000000000000000e+01 1.084205420404826477e+07 9.100000000000000311e-01
2.100000000000000000e+01 2.040987237366287271e+06 1.409999999999999920e+00
3.500000000000000000e+01 2.524145792813892476e+06 1.370000000000000107e+00
2.300000000000000000e+01 2.276960708857148886e+06 1.060000000000000053e+00
3.200000000000000000e+01 9.252870225113276392e+06 9.100000000000000311e-01
3.100000000000000000e+01 1.816377918611069676e+06 1.100000000000000089e+00
2.200000000000000000e+01 1.687764640582191991e+06 1.229999999999999982e+00
2.900000000000000000e+01 1.683093403457202017e+06 1.270000000000000018e+00
3.000000000000000000e+01 1.602365744907112792e+06 1.100000000000000089e+00
3.300000000000000000e+01 2.289410002284836955e+06 1.290000000000000036e+00
3.100000000000000000e+01 1.063797335971315764e+07 8.299999999999999600e-01
4.100000000000000000e+01 9.160292383394893259e+06 8.900000000000000133e-01
4.000000000000000000e+01 8.990100604475619271e+06 1.239999999999999991e+00
3.000000000000000000e+01 1.158685051735530049e+07 1.080000000000000071e+00
3.700000000000000000e+01 1.044737968423870578e+07 9.799999999999999822e-01
4.500000000000000000e+01 3.064092798207515385e+06 1.010000000000000009e+00
3.200000000000000000e+01 1.714889039903737837e+06 1.310000000000000053e+00
2.100000000000000000e+01 4.230534181849129498e+06 9.599999999999999645e-01
3.200000000000000000e+01 1.120514642464545928e+07 9.599999999999999645e-01
3.100000000000000000e+01 9.982026063304437324e+06 1.310000000000000053e+00
2.900000000000000000e+01 1.117974900984852761e+07 1.280000000000000027e+00
2.700000000000000000e+01 1.942329751433058875e+06 1.090000000000000080e+00
6.500000000000000000e+01 7.667960389397044666e+06 1.030000000000000027e+00
5.100000000000000000e+01 2.541123808901202865e+06 1.239999999999999991e+00
4.400000000000000000e+01 2.420186753869358916e+06 9.000000000000000222e-01
2.200000000000000000e+01 1.673067639931746293e+06 1.010000000000000009e+00
2.700000000000000000e+01 1.743955284740896663e+06 9.899999999999999911e-01
2.800000000000000000e+01 2.325928682111648843e+06 9.699999999999999734e-01
4.900000000000000000e+01 1.800208069631016115e+06 1.050000000000000044e+00
3.700000000000000000e+01 1.916471362397068413e+06 1.010000000000000009e+00
3.500000000000000000e+01 1.972242296197752468e+06 1.080000000000000071e+00
4.400000000000000000e+01 1.050801580249644071e+07 1.290000000000000036e+00
2.200000000000000000e+01 3.439942978289544582e+06 9.899999999999999911e-01
3.500000000000000000e+01 1.082447639344521239e+07 1.139999999999999902e+00
4.600000000000000000e+01 2.014487385272003245e+06 9.399999999999999467e-01
6.600000000000000000e+01 1.765391890043357387e+06 9.399999999999999467e-01
2.300000000000000000e+01 4.836528038873246871e+06 8.100000000000000533e-01
5.000000000000000000e+01 2.824406430999640375e+06 9.899999999999999911e-01
4.100000000000000000e+01 9.763607927673550323e+06 1.010000000000000009e+00
